Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open,Close,Pips,Profit,Duration,Gain
08/04/21 11:45,08/04/21 13:14,GBPUSD,Sell,0.36,-,-,1.37325,1.37515,0,-69.98,1h 29m,-2.01%
08/04/21 10:07,08/04/21 10:22,USDJPY,Sell,0.58,-,-,109.578,109.52,0,28.86,14m,0.83%
07/04/21 22:15,08/04/21 4:45,GBPUSD,Sell,0.37,-,-,1.37283,1.37473,0,-74.82,6h 30m,-2.12%
07/04/21 15:47,07/04/21 15:58,GBPUSD,Sell,0.44,-,-,1.37723,1.37597,0,53.5,10m,1.54%
07/04/21 9:09,07/04/21 9:10,GBPUSD,Sell,0.43,-,-,1.3802,1.37902,0,48.84,1m,1.42%
07/04/21 4:06,07/04/21 4:08,USDJPY,Sell,0.59,-,-,109.668,109.628,0,19.64,1m,0.58%
06/04/21 20:02,06/04/21 22:54,GBPUSD,Sell,0.42,-,-,1.38128,1.38288,0,-69.06,2h 52m,-1.98%
06/04/21 15:47,06/04/21 15:48,USDJPY,Sell,0.59,-,-,109.962,109.921,0,20.12,48s,0.58%
05/04/21 16:45,05/04/21 17:03,USDJPY,Sell,0.57,-,-,110.372,110.173,0,101.14,17m,3.01%
02/04/21 6:16,02/04/21 14:55,GBPUSD,Buy,0.36,-,-,1.38468,1.38278,0,-70,8h 38m,-2.04%
01/04/21 16:14,01/04/21 19:20,EURUSD,Buy,0.31,-,-,1.17598,1.17769,0,51.84,3h 6m,1.53%
30/03/21 14:38,30/03/21 16:34,GBPUSD,Sell,0.37,-,-,1.3742,1.37305,0,40.92,1h 55m,1.23%
29/03/21 23:50,30/03/21 4:39,USDJPY,Buy,0.56,-,-,109.847,109.919,0,34.23,4h 48m,1.04%
29/03/21 21:53,30/03/21 2:51,GBPUSD,Sell,0.39,-,-,1.37564,1.37735,0,-69.42,4h 58m,-2.06%
29/03/21 11:27,29/03/21 11:31,GBPUSD,Buy,0.35,-,-,1.38154,1.38259,0,35.2,3m,1.05%
26/03/21 15:37,26/03/21 17:03,GBPUSD,Buy,0.36,-,-,1.37911,1.38086,0,61.41,1h 25m,1.87%
25/03/21 9:30,25/03/21 10:17,GBPUSD,Sell,0.34,-,-,1.3674,1.3693,0,-66.09,47m,-1.98%
25/03/21 3:11,25/03/21 10:04,USDJPY,Buy,0.55,-,-,108.955,109.063,0,52.7,6h 53m,1.60%
24/03/21 12:19,24/03/21 15:32,USDJPY,Buy,0.54,-,-,108.757,108.918,0,78.09,3h 12m,2.43%
23/03/21 21:38,24/03/21 1:20,GBPUSD,Sell,0.3,-,-,1.37515,1.37402,0,31.8,3h 41m,1.00%
23/03/21 12:02,23/03/21 12:06,USDJPY,Sell,0.51,-,-,108.609,108.478,0,59.96,3m,1.92%
23/03/21 10:27,23/03/21 10:33,GBPUSD,Sell,0.26,-,-,1.38172,1.38058,0,28.49,6m,0.92%
19/03/21 11:58,19/03/21 15:36,EURUSD,Sell,0.28,-,-,1.18968,1.18811,0,42.89,3h 37m,1.41%
19/03/21 10:19,19/03/21 11:39,USDJPY,Sell,0.52,-,-,108.624,108.754,0,-63.82,1h 19m,-2.05%
18/03/21 8:42,18/03/21 8:55,GBPUSD,Buy,0.32,-,-,1.39775,1.39876,0,30.89,13m,1.00%
18/03/21 5:05,18/03/21 5:06,USDJPY,Sell,0.51,-,-,108.698,108.656,0,18.08,1m,0.59%
17/03/21 21:32,18/03/21 1:52,USDJPY,Sell,0.51,-,-,108.771,108.901,0,-68.84,4h 20m,-2.20%
17/03/21 20:36,17/03/21 20:46,EURUSD,Buy,0.27,-,-,1.19673,1.19815,0,37.31,10m,1.21%
17/03/21 20:36,17/03/21 20:45,GBPUSD,Buy,0.36,-,-,1.39294,1.3943,0,47.36,8m,1.55%
16/03/21 15:21,16/03/21 17:16,USDJPY,Sell,0.5,-,-,108.822,108.952,0,-61.26,1h 55m,-1.97%
16/03/21 15:47,16/03/21 15:52,EURUSD,Sell,0.28,-,-,1.19137,1.19006,0,35.61,5m,1.16%
16/03/21 9:01,16/03/21 9:12,GBPUSD,Sell,0.3,-,-,1.38534,1.38357,0,51.77,10m,1.71%
15/03/21 16:23,15/03/21 16:45,GBPUSD,Sell,0.33,-,-,1.38959,1.38827,0,42.09,21m,1.41%
11/03/21 17:50,11/03/21 22:31,GBPUSD,Buy,0.28,-,-,1.39772,1.39896,0,33.47,4h 41m,1.14%
11/03/21 18:48,11/03/21 20:04,EURUSD,Buy,0.26,-,-,1.19735,1.19866,0,33.06,1h 15m,1.14%
10/03/21 22:03,11/03/21 9:31,EURUSD,Buy,0.26,-,-,1.19247,1.19378,0,28.55,11h 28m,0.99%
10/03/21 21:28,11/03/21 9:17,GBPUSD,Buy,0.25,-,-,1.39346,1.39469,0,26.26,11h 48m,0.92%
10/03/21 16:10,10/03/21 17:15,GBPUSD,Buy,0.22,-,-,1.39254,1.38994,0,-58.18,1h 5m,-2.00%
10/03/21 16:03,10/03/21 16:15,USDJPY,Sell,0.45,-,-,108.414,108.373,0,15.58,12m,0.54%
09/03/21 18:27,09/03/21 20:04,USDJPY,Sell,0.45,-,-,108.561,108.499,0,24.27,1h 36m,0.84%
09/03/21 16:25,09/03/21 16:39,GBPUSD,Buy,0.23,-,-,1.38997,1.39098,0,22.21,13m,0.78%
09/03/21 13:29,09/03/21 14:35,EURUSD,Buy,0.26,-,-,1.19146,1.18926,0,-58.19,1h 5m,-2.00%
09/03/21 9:18,09/03/21 9:32,GBPUSD,Buy,0.22,-,-,1.38565,1.38701,0,28.94,13m,1.00%
08/03/21 14:50,08/03/21 15:59,USDJPY,Buy,0.47,-,-,108.645,108.708,0,25.74,1h 8m,0.90%
08/03/21 8:56,08/03/21 11:02,EURUSD,Sell,0.26,-,-,1.18928,1.18795,0,33.59,2h 5m,1.19%
05/03/21 15:30,05/03/21 15:42,GBPUSD,Sell,0.25,-,-,1.37872,1.38121,0,-63.35,11m,-2.19%
05/03/21 15:30,05/03/21 15:30,USDJPY,Buy,0.49,-,-,108.555,108.425,0,-60.32,17s,-2.05%
05/03/21 10:07,05/03/21 10:21,GBPUSD,Sell,0.21,-,-,1.38588,1.38486,0,20.49,13m,0.70%
04/03/21 19:59,04/03/21 20:23,EURUSD,Sell,0.27,-,-,1.19915,1.19772,0,37.57,24m,1.30%
04/03/21 18:41,04/03/21 19:21,GBPUSD,Buy,0.27,-,-,1.40073,1.39842,0,-63.58,40m,-2.15%
03/03/21 12:33,03/03/21 13:42,USDJPY,Buy,0.49,-,-,106.957,106.997,0,16.75,1h 9m,0.57%
03/03/21 11:34,03/03/21 12:37,GBPUSD,Buy,0.21,-,-,1.39988,1.39708,0,-59.74,1h 2m,-1.99%
02/03/21 18:06,02/03/21 20:23,EURUSD,Buy,0.27,-,-,1.20696,1.20839,0,37.57,2h 16m,1.27%
02/03/21 11:08,02/03/21 12:48,GBPUSD,Sell,0.22,-,-,1.38658,1.38938,0,-62.58,1h 39m,-2.07%
02/03/21 4:51,02/03/21 4:52,GBPUSD,Sell,0.21,-,-,1.38877,1.38755,0,24.69,1m,0.82%
01/03/21 19:51,01/03/21 20:16,USDJPY,Buy,0.45,-,-,106.776,106.828,0,20.46,24m,0.69%
01/03/21 10:28,01/03/21 11:28,EURUSD,Sell,0.27,-,-,1.20622,1.20398,0,59.44,59m,2.04%
01/03/21 9:22,01/03/21 9:50,GBPUSD,Buy,0.21,-,-,1.39991,1.39711,0,-59.74,28m,-2.01%
26/02/21 18:29,26/02/21 19:56,EURUSD,Sell,0.26,-,-,1.20926,1.20774,0,38.51,1h 26m,1.31%
26/02/21 17:31,26/02/21 17:50,USDJPY,Buy,0.44,-,-,106.521,106.583,0,24.19,19m,0.83%
26/02/21 12:49,26/02/21 13:04,GBPUSD,Sell,0.21,-,-,1.39011,1.39291,0,-59.73,14m,-2.01%
26/02/21 11:58,26/02/21 11:59,USDJPY,Buy,0.48,-,-,106.428,106.484,0,23.7,52s,0.80%
26/02/21 6:52,26/02/21 8:34,GBPUSD,Sell,0.23,-,-,1.39497,1.39395,0,22.43,1h 42m,0.77%
26/02/21 2:18,26/02/21 2:28,GBPUSD,Sell,0.3,-,-,1.39803,1.3959,0,62.56,9m,2.18%
25/02/21 10:59,25/02/21 17:36,USDJPY,Buy,0.45,-,-,106.139,106.19,0,20.17,6h 36m,0.71%
24/02/21 23:23,25/02/21 10:09,EURUSD,Buy,0.26,-,-,1.21723,1.21951,0,53.75,10h 45m,1.93%
25/02/21 3:07,25/02/21 5:55,USDJPY,Buy,0.46,-,-,106.104,105.974,0,-57.9,2h 48m,-2.03%
24/02/21 13:05,24/02/21 15:23,USDJPY,Buy,0.44,-,-,105.844,105.962,0,47.59,2h 18m,1.70%
23/02/21 17:24,23/02/21 17:31,GBPUSD,Buy,0.31,-,-,1.4096,1.41071,0,33.01,6m,1.19%
22/02/21 17:09,22/02/21 17:14,GBPUSD,Buy,0.31,-,-,1.40519,1.40657,0,41.39,5m,1.52%
22/02/21 16:38,22/02/21 16:57,USDJPY,Sell,0.43,-,-,105.238,105.143,0,37.47,19m,1.39%
22/02/21 9:06,22/02/21 9:10,GBPUSD,Sell,0.3,-,-,1.40012,1.39905,0,30.76,3m,1.16%
19/02/21 9:56,19/02/21 10:57,GBPUSD,Buy,0.28,-,-,1.39857,1.4001,0,41.59,1h 1m,1.59%
18/02/21 14:47,18/02/21 14:48,GBPUSD,Buy,0.32,-,-,1.39521,1.39633,0,34.41,48s,1.33%
17/02/21 15:47,17/02/21 16:15,GBPUSD,Sell,0.3,-,-,1.38554,1.38453,0,28.97,27m,1.13%
17/02/21 13:26,17/02/21 14:44,GBPUSD,Sell,0.33,-,-,1.38618,1.38778,0,-54.26,1h 17m,-2.08%
17/02/21 2:50,17/02/21 4:21,GBPUSD,Sell,0.33,-,-,1.38694,1.38854,0,-54.26,1h 30m,-2.04%
16/02/21 15:31,16/02/21 16:04,USDJPY,Buy,0.41,-,-,105.633,105.718,0,31.66,33m,1.20%
16/02/21 15:32,16/02/21 16:02,EURUSD,Sell,0.23,-,-,1.21273,1.21055,0,49.25,29m,1.91%
16/02/21 15:02,16/02/21 15:33,GBPUSD,Sell,0.32,-,-,1.39088,1.38937,0,46.9,31m,1.85%
